elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued_at_polling_station,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,number_absentee_ballots_lost,ballots_number_lost,ballots_number_not_counted,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,zyuganov_gennady_andreevich_number,zyuganov_gennady_andreevich_percent,mironov_sergey_mikhailovich_number,mironov_sergey_mikhailovich_percent,mikhail_dmitrievich_prokhorov_number,mikhail_dmitrievich_prokhorov_percent,vladimir_vladimirovich_putin_number,vladimir_vladimirovich_putin_percent
04.03.2012,Республика Адыгея (Адыгея),Адыгейская,12021,10829,0,7287,497,3045,497,7279,95,7681,130,85,18,45,10,0,0,0,137,1.76,1972,25.36,115,1.48,350,4.50,5107,65.68
04.03.2012,Республика Адыгея (Адыгея),Гиагинская,25507,25937,0,12521,1469,11947,1469,12521,201,13789,117,89,48,28,3,0,0,0,990,7.08,3008,21.50,419,2.99,665,4.75,8707,62.24
04.03.2012,Республика Адыгея (Адыгея),Кошехабльская,23159,23180,0,11863,1218,10099,1218,11861,136,12943,82,46,40,36,4,0,0,0,427,3.26,3094,23.66,288,2.20,655,5.01,8479,64.83
04.03.2012,Республика Адыгея (Адыгея),Красногвардейская,21790,21400,0,12500,1837,7063,1837,12495,294,14038,126,88,34,38,5,0,0,0,871,6.08,2627,18.33,323,2.25,708,4.94,9509,66.35
04.03.2012,Республика Адыгея (Адыгея),Майкопская районная ,47209,46050,0,24921,1856,19273,1855,24905,399,26361,287,209,218,78,13,0,0,0,1945,7.27,5792,21.64,1094,4.09,1499,5.60,16031,59.91
04.03.2012,Республика Адыгея (Адыгея),Майкопская городская,135388,130660,0,80102,12606,37952,12606,80060,1202,91464,667,598,341,69,27,0,0,0,4854,5.24,18181,19.62,3199,3.45,5880,6.35,59350,64.05
04.03.2012,Республика Адыгея (Адыгея),Тахтамукайская ,50984,47620,0,32298,1426,13896,1426,32283,516,33193,605,392,204,213,19,0,0,0,1567,4.65,7437,22.06,960,2.85,2973,8.82,20256,60.09
04.03.2012,Республика Адыгея (Адыгея),Теучежская,13856,12560,0,8077,1423,3060,1423,8071,56,9438,132,69,20,63,8,0,0,0,131,1.38,1364,14.37,101,1.06,164,1.73,7678,80.87
04.03.2012,Республика Адыгея (Адыгея),Шовгеновская,12820,12877,0,6907,1768,4202,1768,6907,68,8607,42,15,18,27,5,0,0,0,242,2.79,1836,21.16,138,1.59,251,2.89,6140,70.78
04.03.2012,Город Москва,район Богородское,63441,50300,0,35939,985,13375,957,35821,779,35999,1857,1736,938,121,42,0,1,0,2672,7.27,6935,18.86,1998,5.43,6867,18.67,17527,47.66
04.03.2012,Город Москва,район Вешняки ,77013,61500,0,45029,2105,14352,2103,44893,924,46072,2156,1808,1442,347,40,1,14,0,2991,6.36,9290,19.77,2584,5.50,8873,18.88,22334,47.52
04.03.2012,Город Москва,район Восточное Измайлово ,44793,40900,0,25921,1305,13674,1305,25839,529,26615,1412,1278,1123,134,29,0,0,0,1723,6.35,5409,19.93,1425,5.25,5454,20.09,12604,46.43
04.03.2012,Город Москва,район Гольяново ,106888,97000,0,58026,2492,36478,2491,57764,1217,59038,2682,2606,2344,76,108,0,4,0,4059,6.74,11809,19.60,3185,5.29,11061,18.36,28924,48.00
04.03.2012,Город Москва,район Ивановское ,80524,63300,0,45980,2265,15055,2261,45731,1075,46917,2048,1992,1802,56,52,0,0,0,2950,6.15,9343,19.47,2349,4.89,8384,17.47,23891,49.78
04.03.2012,Город Москва,район Измайлово ,63560,59750,0,34866,1784,23100,1782,34801,792,35791,1623,1493,1309,130,27,0,0,0,2243,6.13,7318,20.00,2013,5.50,7904,21.61,16313,44.59
04.03.2012,Город Москва,район Косино-Ухтомский ,38849,27500,0,22205,725,4570,724,22021,371,22374,1112,1092,1450,20,37,0,0,0,1507,6.63,4580,20.14,977,4.30,3930,17.28,11380,50.03
04.03.2012,Город Москва,район Метрогородок ,24175,22000,0,13744,571,7681,571,13718,278,14011,711,578,581,133,18,0,4,0,1040,7.28,2447,17.13,728,5.09,2321,16.24,7475,52.31
04.03.2012,Город Москва,район Новокосино ,63730,56700,0,35897,1199,19602,1199,35860,785,36274,1811,1767,1133,44,88,0,2,0,2762,7.45,7211,19.46,1806,4.87,6735,18.17,17760,47.92
04.03.2012,Город Москва,район Новогиреево ,57620,46200,0,32411,1435,12354,1435,32293,693,33035,1352,1290,1281,62,68,0,6,6,2081,6.17,6886,20.42,1873,5.55,6452,19.13,15743,46.68
04.03.2012,Город Москва,район Перово,82182,72400,0,46472,1704,24224,1703,46392,1051,47044,2239,2075,1718,164,79,0,0,0,3240,6.74,9325,19.39,2588,5.38,8532,17.74,23359,48.57
04.03.2012,Город Москва,район Восточный,7812,7700,0,4739,404,2557,404,4726,90,5040,280,227,344,53,11,0,0,0,396,7.72,960,18.71,291,5.67,709,13.82,2684,52.32
04.03.2012,Город Москва,район Преображенское,51881,40300,0,30341,1440,8519,1439,30214,736,30917,1433,1242,1822,191,35,0,0,0,1812,5.72,6074,19.19,1688,5.33,6819,21.54,14524,45.89
04.03.2012,Город Москва,район Северное Измайлово,56667,48309,0,30591,1583,16135,1582,30485,649,31418,1408,1345,1488,63,31,0,0,0,1998,6.23,6084,18.97,1796,5.60,6329,19.74,15211,47.44
04.03.2012,Город Москва,район Соколиная гора,57280,48700,0,33217,1642,13841,1642,33118,705,34055,1457,1368,2023,88,37,1,0,0,2333,6.71,6776,19.49,1874,5.39,6799,19.56,16273,46.82
04.03.2012,Город Москва,район Сокольники,38661,29920,0,23554,1161,5205,1161,23483,670,23974,1357,1163,1233,194,26,0,0,0,1448,5.88,4806,19.50,1276,5.18,5619,22.80,10825,43.93
04.03.2012,Город Москва,район Внуково,15682,13100,0,8164,424,4512,424,8149,136,8437,315,259,485,56,1,0,0,0,596,6.95,1763,20.56,401,4.68,1317,15.36,4360,50.86
04.03.2012,Город Москва,район Дорогомилово,39820,32110,0,23422,918,7770,917,23344,549,23712,931,862,1424,69,19,0,0,0,1205,4.97,4722,19.46,1285,5.30,6831,28.16,9669,39.85
